location_id,west__distance_in_meters,west__station,west__distance_in_time,east__distance_in_meters,east__station,east__distance_in_time,south__distance_in_meters,south__station,south__distance_in_time,north__distance_in_meters,nortth__station,north__distance_in_time
Los Héroes,890,Santa Ana,85.14223077833420,820,Toesca,92.22360283760590,,,,,,
Los Leones,550,Pedro de Valdivia,121.3811097710810,820,Tobalaba,96.3332490944758,,,,,,
Los Leones,2250,Inés de Suárez,30.65227234558310,,,,,,,,,
Los Libertadores,1240,EFE Quilicura,53.080102298924500,1110,Cardenal Caro,62.624490937114900,,,,,,
Los Orientales,1000,Plaza Egaña,73.18674752790180,830,Grecia,76.20146208595410,,,,,,
Los Presidentes,1210,Grecia,60.38981808206000,900,Quilín,85.81476870142370,,,,,,
Los Quillayes,890,San José de la Estrella,72.28739947624860,930,Elisa Correa,84.90023714712780,,,,,,
Macul,1190,Las Torres,65.99596635369450,1300,Vicuña Mackenna,50.28242999911870,,,,,,
Manquehue,1500,Escuela Militar,43.992992832351400,1160,Hernando de Magallanes,60.729996322089900,,,,,,
Manuel Montt,830,Salvador,75.30944699814870,700,Pedro de Valdivia,111.74712380417400,,,,,,
Matta,1430,Parque Almagro,45.97797430461070,1410,Irarrázaval,52.936156884607000,,,,,,
Mirador,850,Pedrero,81.6475145377894,920,Bellavista de La Florida,71.10928819821050,,,,,,
Monseñor Eyzaguirre,1350,Irarrázaval,46.946821439602300,780,Ñuñoa,92.5665352595314,,,,,,
Monte Tabor,1050,Del Sol,67.79045300159160,940,Las Parcelas,78.61674667356290,,,,,,
Neptuno,690,San Pablo,88.88796227059090,1030,Pajaritos,61.42308404468380,,,,,,
Ñuble,1650,Irarrázaval,41.03151695009120,1240,Rodrigo de Araya,63.59848204958290,,,,,,
Ñuble,2120,Bío Bío,32.55611052051530,1960,Estadio Nacional,36.34404668074730,,,,,,
Ñuñoa,780,Monseñor Eyzaguirre,91.25314846120300,750,Chile España,104.54489996176900,,,,,,
Ñuñoa,930,Estadio Nacional,70.62208554952980,1820,Inés de Suárez,38.346476879539200,,,,,,
Observatorio,1620,Riquelme,42.24054356626230,1260,Lo Martínez,50.34288888084020,,,,,,
Pajaritos,1030,Neptuno,76.69248224558260,860,Las Rejas,75.53359076082160,,,,,,
Parque Almagro,840,Universidad de Chile,83.52446387893630,1430,Matta,48.44116484318890,,,,,,
Parque Bustamante,610,Baquedano,126.98986976761900,500,Santa Isabel,145.9189096197090,,,,,,
Parque O'Higgins,960,Toesca,66.27115118700900,950,Rondizzoni,73.69944770647330,,,,,,
Patronato,780,Cerro Blanco,100.63505213229500,760,Puente Cal y Canto,93.44871019984010,,,,,,
Pedrero,1090,San Joaquín,59.27827581548350,850,Mirador,80.48883606892520,,,,,,
Pedro de Valdivia,700,Manuel Montt,105.61188291931500,550,Los Leones,137.4569295506070,,,,,,
Plaza Chacabuco,1310,Conchalí,50.5661633507437,1240,Hospitales,52.27461808977150,,,,,,
Plaza de Armas,570,Puente Cal y Canto,121.36222977396800,730,Universidad de Chile,88.06418131907250,,,,,,
Plaza de Armas,870,Santa Ana,77.79398844974060,640,Bellas Artes,120.19065791876600,,,,,,
Plaza de Maipú,,,,1530,Santiago Bueras,46.59256108172160,,,,,,
Plaza de Puente Alto,750,Las Mercedes,82.23985802010830,,,,,,,,,
Plaza de Quilicura,,,,1000,Lo Cruzat,63.95492214257100,,,,,,
Plaza Egaña,900,Villa Frei,73.91083966517340,1320,F. Castillo Velasco,57.538641287776600,,,,,,
Plaza Egaña,810,Simón Bolívar,78.76002219099720,1000,Los Orientales,68.45447773173590,,,,,,
