"station","address","line","previous__distance_in_meters","previous__station","previous__distance_in_time","previous__combination","next","previous","next__distance_in_meters","next__station","next__distance_in_time","next__combination","transfer_to","coords__lat","coords__lng"
"Puente Cal y Canto","General Mackenna con Puente , Santiago de Chile","L2","760","Patronato","92.75367753115151","1","","","1290","Santa Ana","47.79304926300736","9999","L3","-33.4327343","-70.6523831"
"Santa Ana","Autopista Central con Catedral , Santiago de Chile","L2","1290","Puente Cal y Canto","49.98699387237556","9999","","","890","Los Héroes","70.66797492344794","9999","L5","-33.43810330000001","-70.6599026"
"Los Héroes","Autopista Central con Alameda , Santiago de Chile","L2","890","Santa Ana","85.14223077833418","9999","","","820","Toesca","92.22360283760587","1","L1","-33.4466032","-70.6612239"
"Toesca","Autopista Central con Toesca , Santiago de Chile","L2","820","Los Héroes","76.57850387125973","9999","","","960","Parque O'Higgins","81.98789571407418","1","null","-33.4529468","-70.65855"
"Parque O'Higgins","Autopista Central con M. A. Matta , Santiago de Chile","L2","960","Toesca","66.27115118700904","1","","","950","Rondizzoni","73.69944770647331","1","null","-33.4609788","-70.6568466"
"Rondizzoni","Autopista Central con Rondizzoni , Santiago de Chile","L2","950","Parque O'Higgins","72.65962777039805","1","","","1040","Franklin","71.1103774109661","9999","null","-33.4702146","-70.6563434"
"Franklin","Placer con Franklin , Santiago de Chile","L2","1040","Rondizzoni","60.072367792755635","1","","","750","El Llano","105.24392096347115","1","L6","-33.4760254","-70.649369"
"El Llano","Gran Avenida con J. J. Vallejos , Santiago de Chile","L2","750","Franklin","93.39260524284482","9999","","","740","San Miguel","86.57850756765201","1","null","-33.482703","-70.6492315"
"San Miguel","Gran Avenida con Arcángel , Santiago de Chile","L2","740","El Llano","92.37746757479208","1","","","850","Lo Vial","85.57145377840372","1","null","-33.4887319","-70.65115999999999"
"Lo Vial","Gran Avenida con Blanco Viel , Santiago de Chile","L2","850","San Miguel","82.45676834109298","1","","","640","Departamental","105.29020438745115","1","null","-33.4967971","-70.6529987"
"Departamental","Gran Avenida con Carlos Edwards , Santiago de Chile","L2","640","Lo Vial","123.62173683565513","1","","","770","Ciudad del Niño","83.22763379424246","1","null","-33.5024916","-70.65464"
"Ciudad del Niño","Gran Avenida con Sexta Avenida , Santiago de Chile","L2","770","Departamental","98.97401945303533","1","","","880","Lo Ovalle","69.70415873727107","1","null","-33.5097615","-70.6567322"
"Lo Ovalle","Gran Avenida con José Ureta , Santiago de Chile","L2","880","Ciudad del Niño","79.83239446588647","1","","","980","El Parrón","69.06642115349585","1","null","-33.5172911","-70.6588769"
"El Parrón","Gran Avenida con El Parrón , Santiago de Chile","L2","980","Lo Ovalle","77.82713345720741","1","","","1200","La Cisterna","54.262485291360825","1","null","-33.5264173","-70.6610065"
"La Cisterna","Gran Avenida con Américo Vespucio , Santiago de Chile","L2","1200","El Parrón","58.155986716141015","1","","","970","Riquelme","68.08294074056904","1","L4A","-33.5373549","-70.6643055"
"Riquelme","Avenida Los Morros con Calle Riquelme , Santiago de Chile","L2","970","La Cisterna","79.01461254993907","9999","","","1620","Observatorio","48.46785665728506","1","null","-33.4343209","-70.6621254"
"Observatorio","Avenida Los Morros con Av. Observatorio , Santiago de Chile","L2","1620","Riquelme","42.24054356626233","1","","","1260","Lo Martínez","50.34288888084016","1","null","-33.5100236","-70.75697520000001"
"Lo Martínez","Avenida Los Morros con Av. Lo Martínez , Santiago de Chile","L2","1260","Observatorio","50.25001739282722","1","","","1390","Hospital El Pino","44.208444179558036","1","null","-33.4646281","-70.6106762"
"Hospital El Pino","Avenida Los Morros con Av. Lo Blanco , Santiago de Chile","L2","1390","Lo Martínez","47.22994328870164","1","null","","","","","","null","-33.5845578","-70.6767386"
"Plaza de Quilicura","Av. Manuel Antonio Matta con Av. Libertador Bernardo O´Higgins , Santiago de Chile","L3","","","","","","null","1000","Lo Cruzat","63.95492214257102","1","null","-33.3679159","-70.731281"
"Lo Cruzat","Av. Manuel Antonio Matta con Avenida Las Torres , Santiago de Chile","L3","1000","Plaza de Quilicura","73.84386015203198","1","","","1530","EFE Quilicura","43.06745733117788","1","null","-33.3664925","-70.7210916"
"EFE Quilicura","Av. Manuel Antonio Matta con Avenida Eduardo Frei Montalva , Santiago de Chile","L3","1530","Lo Cruzat","41.70759737439081","1","","","1240","Los Libertadores","51.35885612085811","1","null","-33.3655898","-70.7024363"
"Los Libertadores","Américo Vespucio con Gral. San Martín , Santiago de Chile","L3","1240","EFE Quilicura","53.080102298924544","1","","","1110","Cardenal Caro","62.624490937114906","1","null","-33.3671277","-70.6873628"
"Cardenal Caro","Independencia con Cardenal J. M. Caro , Santiago de Chile","L3","1110","Los Libertadores","69.27842329611288","1","","","1600","Vivaceta","45.944722339312186","1","null","-33.3729878","-70.6853854"
"Vivaceta","Independencia con Camino Vecinal , Santiago de Chile","L3","1600","Cardenal Caro","41.82016746683144","1","","","1560","Conchalí","44.09731237555251","1","null","-33.385102","-70.6792782"
"Conchalí","Independencia con Dorsal , Santiago de Chile","L3","1560","Vivaceta","41.077809871100406","1","","","1310","Plaza Chacabuco","52.908782164752616","1","null","-33.398074","-70.6690749"
"Plaza Chacabuco","Independencia con Hipódromo Chile , Santiago de Chile","L3","1310","Conchalí","50.5661633507437","1","","","1240","Hospitales","52.27461808977151","1","null","-33.4064046","-70.6609036"
"Hospitales","Independencia con Bezanilla , Santiago de Chile","L3","1240","Plaza Chacabuco","53.69929222596327","1","","","1670","Puente Cal y Canto","44.26461023627114","9999","null","-33.5769857","-70.58232199999999"
"Puente Cal y Canto","Bandera con General Mackenna , Santiago de Chile","L3","1670","Hospitales","40.155902520401916","1","","","570","Plaza de Armas","108.99793654770434","9999","L2","-33.4327343","-70.6523831"
"Plaza de Armas","Bandera con Catedral , Santiago de Chile","L3","570","Puente Cal y Canto","121.36222977396831","9999","","","730","Universidad de Chile","88.06418131907252","9999","L5","-33.4378514","-70.65072479999999"
"Universidad de Chile","Bandera con Alameda , Santiago de Chile","L3","730","Plaza de Armas","100.90020575258266","9999","","","840","Parque Almagro","73.94853115837168","1","L1","-33.443809","-70.650391"
"Parque Almagro","San Diego con Santa Isabel , Santiago de Chile","L3","840","Universidad de Chile","83.52446387893627","9999","","","1430","Matta","48.44116484318894","1","null","-33.4515781","-70.6505495"
"Matta","M. A. Matta con Santa Rosa , Santiago de Chile","L3","1430","Parque Almagro","45.97797430461065","1","","","1410","Irarrázaval","52.936156884606994","9999","null","-33.4579486","-70.6430883"
