location_id,west__time,west__station,east__time,east__station,south__time,south__station,north__time,north__station
Plaza Egaña,135,Simón Bolívar,167,Los Orientales,0,,0,
Presidente Pedro Aguirre Cerda,250,Lo Valledor,265,Franklin,0,,0,
Príncipe de Gales,237,Francisco Bilbao,127,Simón Bolívar,0,,0,
Protectora de la Infancia,245,Hospital Sótero del Río,217,Las Mercedes,0,,0,
Pudahuel,160,Barrancas,263,San Pablo,0,,0,
Puente Cal y Canto,127,Patronato,215,Santa Ana,0,,0,
Puente Cal y Canto,278,Hospitales,95,Plaza de Armas,0,,0,
Quilín,150,Los Presidentes,228,Las Torres,0,,0,
Quinta Normal,180,Gruta de Lourdes,182,Cumming,0,,0,
República,93,Unión Latinoamericana,98,Los Héroes,0,,0,
Riquelme,162,La Cisterna,270,Observatorio,0,,0,
Rodrigo de Araya,207,Ñuble,177,Carlos Valdovinos,0,,0,
Rojas Magallanes,200,Vicente Valdés,190,Trinidad,0,,0,
Rondizzoni,158,Parque O'Higgins,173,Franklin,0,,0,
Salvador,150,Baquedano,138,Manuel Montt,0,,0,
San Alberto Hurtado,113,Ecuador,90,Universidad de Santiago,0,,0,
San Joaquín,132,Camino Agrícola,182,Pedrero,0,,0,
San José de la Estrella,140,Trinidad,148,Los Quillayes,0,,0,
San Miguel,123,El Llano,142,Lo Vial,0,,0,
San Pablo,0,,115,Neptuno,0,,0,
San Pablo,263,Pudahuel,95,Lo Prado,0,,0,
San Ramón,333,La Cisterna,137,Santa Rosa,0,,0,
Santa Ana,215,Puente Cal y Canto,148,Los Héroes,0,,0,
Santa Ana,137,Cumming,145,Plaza de Armas,0,,0,
Santa Isabel,83,Parque Bustamante,120,Irarrázaval,0,,0,
Santa Julia,262,La Granja,273,Vicuña Mackenna,0,,0,
Santa Lucía,80,Universidad de Chile,88,Universidad Católica,0,,0,
Santa Rosa,137,San Ramón,285,La Granja,0,,0,
Santiago Bueras,255,Plaza de Maipú,135,Del Sol,0,,0,
Simón Bolívar,127,Príncipe de Gales,135,Plaza Egaña,0,,0,
Tobalaba,137,Los Leones,103,El Golf,0,,0,
