location_id,west__distance_in_time,west__station,east__distance_in_time,east__station,south__distance_in_time,south__station,north__distance_in_time,nortth__station
Príncipe de Gales,1420,Francisco Bilbao,760,Simón Bolívar,,,,
Protectora de la Infancia,1470,Hospital Sótero del Río,1300,Las Mercedes,,,,
Pudahuel,960,Barrancas,1580,San Pablo,,,,
Puente Cal y Canto,760,Patronato,1290,Santa Ana,,,,
Puente Cal y Canto,1670,Hospitales,570,Plaza de Armas,,,,
Quilín,900,Los Presidentes,1370,Las Torres,,,,
Quinta Normal,1080,Gruta de Lourdes,1090,Cumming,,,,
República,560,Unión Latinoamericana,590,Los Héroes,,,,
Riquelme,970,La Cisterna,1620,Observatorio,,,,
Rodrigo de Araya,1240,Ñuble,1060,Carlos Valdovinos,,,,
Rojas Magallanes,1200,Vicente Valdés,1140,Trinidad,,,,
Rondizzoni,950,Parque O'Higgins,1040,Franklin,,,,
Salvador,900,Baquedano,830,Manuel Montt,,,,
San Alberto Hurtado,680,Ecuador,540,Universidad de Santiago,,,,
San Joaquín,790,Camino Agrícola,1090,Pedrero,,,,
San José de la Estrella,840,Trinidad,890,Los Quillayes,,,,
San Miguel,740,El Llano,850,Lo Vial,,,,
San Pablo,,,690,Neptuno,,,,
San Pablo,1580,Pudahuel,570,Lo Prado,,,,
San Ramón,2000,La Cisterna,820,Santa Rosa,,,,
Santa Ana,1290,Puente Cal y Canto,890,Los Héroes,,,,
Santa Ana,820,Cumming,870,Plaza de Armas,,,,
Santa Isabel,500,Parque Bustamante,720,Irarrázaval,,,,
Santa Julia,1570,La Granja,1640,Vicuña Mackenna,,,,
Santa Lucía,480,Universidad de Chile,530,Universidad Católica,,,,
Santa Rosa,820,San Ramón,1710,La Granja,,,,
Santiago Bueras,1530,Plaza de Maipú,810,Del Sol,,,,
Simón Bolívar,760,Príncipe de Gales,810,Plaza Egaña,,,,
Tobalaba,820,Los Leones,620,El Golf,,,,
Tobalaba,,,1310,Cristóbal Colón,,,,
Toesca,820,Los Héroes,960,Parque O'Higgins,,,,
Trinidad,1140,Rojas Magallanes,840,San José de la Estrella,,,,
Unión Latinoamericana,630,Estación Central,560,República,,,,
Universidad Católica,530,Santa Lucía,660,Baquedano,,,,
Universidad de Santiago,540,San Alberto Hurtado,750,Estación Central,,,,
Vespucio Norte,,,1500,Zapadores,,,,
Vicente Valdés,760,Vicuña Mackenna,1200,Rojas Magallanes,,,,
Vicente Valdés,770,Bellavista de La Florida,,,,,,
Vicuña Mackenna,1300,Macul,760,Vicente Valdés,,,,
Vicuña Mackenna,1640,Santa Julia,,,,,,
Villa Frei,1540,Chile España,900,Plaza Egaña,,,,
Vivaceta,1600,Cardenal Caro,1560,Conchalí,,,,
Zapadores,1500,Vespucio Norte,660,Dorsal,,,,
